Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
Gender by Ethnicity,Female Hispanic,2011,4 year June,14118,9332,66.1,8759,62.0,93.9,1502,10.6,16.1,7257,51.4,77.8,573,4.1,6.1,3105,22.0,1454,10.3,128,0.9,93,0.7
Gender by Ethnicity,Female Hispanic,2010,4 year June,14206,8697,61.2,8181,57.6,94.1,1428,10.1,16.4,6753,47.5,77.6,516,3.6,5.9,3609,25.4,1661,11.7,130,0.9,105,0.7
Gender by Ethnicity,Female Hispanic,2009,4 year June,14914,8745,58.6,8297,55.6,94.9,1441,9.7,16.5,6856,46.0,78.4,448,3.0,5.1,4046,27.1,1818,12.2,162,1.1,132,0.9
Gender by Ethnicity,Female Hispanic,2008,4 year June,14940,8519,57.0,8142,54.5,95.6,1438,9.6,16.9,6704,44.9,78.7,377,2.5,4.4,4098,27.4,1958,13.1,204,1.4,147,1.0
Gender by Ethnicity,Female Hispanic,2007,4 year June,15310,9084,59.3,7690,50.2,84.7,1470,9.6,16.2,6220,40.6,68.5,1394,9.1,15.3,3770,24.6,2079,13.6,190,1.2,179,1.2
Gender by Ethnicity,Female Hispanic,2006,4 year June,14835,8871,59.8,6698,45.1,75.5,1436,9.7,16.2,5262,35.5,59.3,2173,14.6,24.5,3497,23.6,1978,13.3,222,1.5,263,1.8
Gender by Ethnicity,Female Hispanic,2005,4 year June,14396,8428,58.5,5741,39.9,68.1,1375,9.6,16.3,4366,30.3,51.8,2687,18.7,31.9,3577,24.8,1835,12.7,215,1.5,341,2.4
Gender by Ethnicity,Female Hispanic,2004,4 year June,13948,7658,54.9,4870,34.9,63.6,1379,9.9,18.0,3491,25.0,45.6,2788,20.0,36.4,3963,28.4,2094,15.0,210,1.5,22,0.2
Gender by Ethnicity,Female Hispanic,2003,4 year June,13362,6722,50.3,4077,30.5,60.7,1175,8.8,17.5,2902,21.7,43.2,2645,19.8,39.3,4011,30.0,2322,17.4,181,1.4,108,0.8
Gender by Ethnicity,Female Hispanic,2002,4 year June,13103,6108,46.6,3503,26.7,57.4,762,5.8,12.5,2741,20.9,44.9,2612,19.9,42.8,3997,30.5,2622,20.0,179,1.4,149,1.1
Gender by Ethnicity,Female Hispanic,2001,4 year June,12608,5570,44.2,3037,24.1,54.5,765,6.1,13.7,2272,18.0,40.8,2539,20.1,45.6,3699,29.3,2963,23.5,325,2.6,47,0.4
Gender by Ethnicity,Female Hispanic,2013,5 year August,13727,10749,78.3,9648,70.3,89.8,1780,13.0,16.6,7868,57.3,73.2,1101,8.0,10.2,937,6.8,1755,12.8,136,1.0,148,1.1
Gender by Ethnicity,Female Hispanic,2012,5 year August,13989,10851,77.6,9870,70.6,91.0,1584,11.3,14.6,8286,59.2,76.4,981,7.0,9.0,1026,7.3,1801,12.9,185,1.3,122,0.9
Gender by Ethnicity,Female Hispanic,2011,5 year August,14063,10646,75.7,9770,69.5,91.8,1505,10.7,14.1,8265,58.8,77.6,876,6.2,8.2,999,7.1,2076,14.8,221,1.6,113,0.8
Gender by Ethnicity,Female Hispanic,2010,5 year August,14158,10241,72.3,9449,66.7,92.3,1441,10.2,14.1,8008,56.6,78.2,792,5.6,7.7,1219,8.6,2362,16.7,194,1.4,134,0.9
Gender by Ethnicity,Female Hispanic,2009,5 year August,14836,10532,71.0,9821,66.2,93.2,1459,9.8,13.9,8362,56.4,79.4,711,4.8,6.8,1427,9.6,2530,17.1,174,1.2,164,1.1
Gender by Ethnicity,Female Hispanic,2008,5 year August,14902,10205,68.5,9571,64.2,93.8,1446,9.7,14.2,8125,54.5,79.6,634,4.3,6.2,1497,10.0,2703,18.1,315,2.1,165,1.1
Gender by Ethnicity,Female Hispanic,2007,5 year August,15205,10705,70.4,8448,55.6,78.9,1474,9.7,13.8,6974,45.9,65.1,2257,14.8,21.1,897,5.9,3091,20.3,311,2.0,193,1.3
Gender by Ethnicity,Female Hispanic,2006,5 year August,14956,10416,69.6,7322,49.0,70.3,1445,9.7,13.9,5877,39.3,56.4,3094,20.7,29.7,982,6.6,2918,19.5,376,2.5,252,1.7
Gender by Ethnicity,Female Hispanic,2013,5 year June,13727,10656,77.6,9590,69.9,90.0,1780,13.0,16.7,7810,56.9,73.3,1066,7.8,10.0,1025,7.5,1760,12.8,136,1.0,148,1.1
Gender by Ethnicity,Female Hispanic,2012,5 year June,13989,10758,76.9,9802,70.1,91.1,1584,11.3,14.7,8218,58.7,76.4,956,6.8,8.9,1115,8.0,1805,12.9,185,1.3,122,0.9
Gender by Ethnicity,Female Hispanic,2011,5 year June,14063,10518,74.8,9690,68.9,92.1,1505,10.7,14.3,8185,58.2,77.8,828,5.9,7.9,1121,8.0,2081,14.8,221,1.6,113,0.8
Gender by Ethnicity,Female Hispanic,2010,5 year June,14158,10102,71.4,9335,65.9,92.4,1441,10.2,14.3,7894,55.8,78.1,767,5.4,7.6,1346,9.5,2372,16.8,196,1.4,134,0.9
Gender by Ethnicity,Female Hispanic,2009,5 year June,14836,10333,69.6,9654,65.1,93.4,1459,9.8,14.1,8195,55.2,79.3,679,4.6,6.6,1616,10.9,2539,17.1,175,1.2,164,1.1
Gender by Ethnicity,Female Hispanic,2008,5 year June,14902,10020,67.2,9413,63.2,93.9,1446,9.7,14.4,7967,53.5,79.5,607,4.1,6.1,1667,11.2,2713,18.2,319,2.1,165,1.1
Gender by Ethnicity,Female Hispanic,2007,5 year June,15205,10547,69.4,8383,55.1,79.5,1474,9.7,14.0,6909,45.4,65.5,2164,14.2,20.5,1005,6.6,3139,20.6,313,2.1,193,1.3
Gender by Ethnicity,Female Hispanic,2006,5 year June,14956,10266,68.6,7277,48.7,70.9,1445,9.7,14.1,5832,39.0,56.8,2989,20.0,29.1,1091,7.3,2965,19.8,376,2.5,247,1.7
Gender by Ethnicity,Female Hispanic,2005,5 year June,14581,9903,67.9,6259,42.9,63.2,1390,9.5,14.0,4869,33.4,49.2,3644,25.0,36.8,1199,8.2,2831,19.4,328,2.2,307,2.1
Gender by Ethnicity,Female Hispanic,2004,5 year June,14083,9189,65.2,5391,38.3,58.7,1401,9.9,15.2,3990,28.3,43.4,3798,27.0,41.3,1370,9.7,2786,19.8,315,2.2,422,3.0
Gender by Ethnicity,Female Hispanic,2003,5 year June,13362,8110,60.7,4428,33.1,54.6,1195,8.9,14.7,3233,24.2,39.9,3682,27.6,45.4,1614,12.1,3169,23.7,334,2.5,117,0.9
Gender by Ethnicity,Female Hispanic,2002,5 year June,13103,7481,57.1,3896,29.7,52.1,791,6.0,10.6,3105,23.7,41.5,3639,27.8,48.6,1667,12.7,3468,26.5,285,2.2,153,1.2
Gender by Ethnicity,Female Hispanic,2001,5 year June,12608,6866,54.5,3297,26.2,48.0,789,6.3,11.5,2508,19.9,36.5,3585,28.4,52.2,1389,11.0,3862,30.6,434,3.4,47,0.4
Gender by Ethnicity,Female Hispanic,2012,6 year June,13970,11055,79.1,9989,71.5,90.4,1584,11.3,14.3,8405,60.2,76.0,1066,7.6,9.6,596,4.3,1945,13.9,201,1.4,136,1.0
Gender by Ethnicity,Female Hispanic,2011,6 year June,14083,10888,77.3,9932,70.5,91.2,1505,10.7,13.8,8427,59.8,77.4,956,6.8,8.8,619,4.4,2206,15.7,237,1.7,128,0.9
Gender by Ethnicity,Female Hispanic,2010,6 year June,14128,10545,74.6,9664,68.4,91.6,1442,10.2,13.7,8222,58.2,78.0,881,6.2,8.4,690,4.9,2540,18.0,209,1.5,137,1.0
Gender by Ethnicity,Female Hispanic,2009,6 year June,14826,10899,73.5,10112,68.2,92.8,1460,9.8,13.4,8652,58.4,79.4,787,5.3,7.2,850,5.7,2718,18.3,183,1.2,171,1.2
Gender by Ethnicity,Female Hispanic,2008,6 year June,14893,10543,70.8,9826,66.0,93.2,1446,9.7,13.7,8380,56.3,79.5,717,4.8,6.8,852,5.7,2909,19.5,399,2.7,175,1.2
Gender by Ethnicity,Female Hispanic,2007,6 year June,15243,11012,72.2,8627,56.6,78.3,1481,9.7,13.4,7146,46.9,64.9,2385,15.6,21.7,468,3.1,3214,21.1,335,2.2,205,1.3
Gender by Ethnicity,Female Hispanic,2006,6 year June,14796,10681,72.2,7418,50.1,69.5,1445,9.8,13.5,5973,40.4,55.9,3263,22.1,30.5,451,3.0,3055,20.6,353,2.4,241,1.6
Gender by Ethnicity,Female Hispanic,2005,6 year June,14567,10323,70.9,6373,43.7,61.7,1393,9.6,13.5,4980,34.2,48.2,3950,27.1,38.3,602,4.1,2983,20.5,354,2.4,291,2.0
Gender by Ethnicity,Female Hispanic,2004,6 year June,14106,9673,68.6,5499,39.0,56.8,1403,9.9,14.5,4096,29.0,42.3,4174,29.6,43.2,845,6.0,3062,21.7,321,2.3,187,1.3
Gender by Ethnicity,Female Hispanic,2003,6 year June,13392,8608,64.3,4528,33.8,52.6,1197,8.9,13.9,3331,24.9,38.7,4080,30.5,47.4,749,5.6,3421,25.5,357,2.7,239,1.8
Gender by Ethnicity,Female Hispanic,2002,6 year June,13103,7917,60.4,3966,30.3,50.1,794,6.1,10.0,3172,24.2,40.1,4005,30.6,50.6,861,6.6,3804,29.0,318,2.4,154,1.2
Gender by Ethnicity,Female Hispanic,2001,6 year June,12608,7230,57.3,3350,26.6,46.3,792,6.3,11.0,2558,20.3,35.4,3909,31.0,54.1,575,4.6,4279,33.9,467,3.7,47,0.4
Gender by Ethnicity,Female Multi-Racial,2014,4 year August,525,476,90.7,458,87.2,96.2,163,31.0,34.2,295,56.2,62.0,18,3.4,3.8,38,7.2,9,1.7,1,0.2,1,0.2
Gender by Ethnicity,Female Multi-Racial,2013,4 year August,394,355,90.1,347,88.1,97.7,108,27.4,30.4,239,60.7,67.3,8,2.0,2.3,21,5.3,16,4.1,0,0.0,2,0.5
Gender by Ethnicity,Female Multi-Racial,2012,4 year August,388,354,91.2,348,89.7,98.3,143,36.9,40.4,205,52.8,57.9,6,1.5,1.7,17,4.4,16,4.1,0,0.0,1,0.3
Gender by Ethnicity,Female Multi-Racial,2011,4 year August,115,94,81.7,92,80.0,97.9,35,30.4,37.2,57,49.6,60.6,2,1.7,2.1,9,7.8,12,10.4,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2010,4 year August,102,78,76.5,77,75.5,98.7,26,25.5,33.3,51,50.0,65.4,1,1.0,1.3,17,16.7,7,6.9,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2009,4 year August,56,25,44.6,25,44.6,100.0,7,12.5,28.0,18,32.1,72.0,0,0.0,0.0,20,35.7,8,14.3,2,3.6,1,1.8
Gender by Ethnicity,Female Multi-Racial,2008,4 year August,47,32,68.1,32,68.1,100.0,11,23.4,34.4,21,44.7,65.6,0,0.0,0.0,10,21.3,5,10.6,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2007,4 year August,34,25,73.5,23,67.6,92.0,6,17.6,24.0,17,50.0,68.0,2,5.9,8.0,4,11.8,5,14.7,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2006,4 year August,131,100,76.3,78,59.5,78.0,24,18.3,24.0,54,41.2,54.0,22,16.8,22.0,17,13.0,11,8.4,0,0.0,3,2.3
Gender by Ethnicity,Female Multi-Racial,2005,4 year August,147,100,68.0,71,48.3,71.0,15,10.2,15.0,56,38.1,56.0,29,19.7,29.0,25,17.0,21,14.3,0,0.0,1,0.7
Gender by Ethnicity,Female Multi-Racial,2004,4 year August,130,91,70.0,66,50.8,72.5,No Data,No Data,No Data,No Data,No Data,No Data,25,19.2,27.5,26,20.0,13,10.0,No Data,No Data,No Data,No Data
Gender by Ethnicity,Female Multi-Racial,2014,4 year June,525,463,88.2,446,85.0,96.3,162,30.9,35.0,284,54.1,61.3,17,3.2,3.7,51,9.7,9,1.7,1,0.2,1,0.2
Gender by Ethnicity,Female Multi-Racial,2013,4 year June,394,347,88.1,342,86.8,98.6,108,27.4,31.1,234,59.4,67.4,5,1.3,1.4,29,7.4,16,4.1,0,0.0,2,0.5
Gender by Ethnicity,Female Multi-Racial,2012,4 year June,388,345,88.9,340,87.6,98.6,143,36.9,41.4,197,50.8,57.1,5,1.3,1.4,26,6.7,16,4.1,0,0.0,1,0.3
Gender by Ethnicity,Female Multi-Racial,2011,4 year June,115,93,80.9,91,79.1,97.8,35,30.4,37.6,56,48.7,60.2,2,1.7,2.2,10,8.7,12,10.4,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2010,4 year June,102,76,74.5,75,73.5,98.7,26,25.5,34.2,49,48.0,64.5,1,1.0,1.3,19,18.6,7,6.9,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2009,4 year June,56,23,41.1,23,41.1,100.0,7,12.5,30.4,16,28.6,69.6,0,0.0,0.0,22,39.3,8,14.3,2,3.6,1,1.8
Gender by Ethnicity,Female Multi-Racial,2008,4 year June,47,31,66.0,31,66.0,100.0,11,23.4,35.5,20,42.6,64.5,0,0.0,0.0,11,23.4,5,10.6,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2007,4 year June,34,24,70.6,22,64.7,91.7,6,17.6,25.0,16,47.1,66.7,2,5.9,8.3,5,14.7,5,14.7,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2006,4 year June,131,98,74.8,77,58.8,78.6,24,18.3,24.5,53,40.5,54.1,21,16.0,21.4,19,14.5,11,8.4,0,0.0,3,2.3
Gender by Ethnicity,Female Multi-Racial,2005,4 year June,147,95,64.6,67,45.6,70.5,15,10.2,15.8,52,35.4,54.7,28,19.0,29.5,30,20.4,21,14.3,0,0.0,1,0.7
Gender by Ethnicity,Female Multi-Racial,2004,4 year June,130,85,65.4,63,48.5,74.1,22,16.9,25.9,41,31.5,48.2,22,16.9,25.9,32,24.6,13,10.0,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2003,4 year June,248,199,80.2,144,58.1,72.4,55,22.2,27.6,89,35.9,44.7,55,22.2,27.6,40,16.1,8,3.2,0,0.0,1,0.4
Gender by Ethnicity,Female Multi-Racial,2002,4 year June,10,0,0.0,0,0.0,No Data,0,0.0,No Data,0,0.0,No Data,0,0.0,No Data,10,100.0,0,0.0,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2001,4 year June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Gender by Ethnicity,Female Multi-Racial,2013,5 year August,393,365,92.9,356,90.6,97.5,108,27.5,29.6,248,63.1,67.9,9,2.3,2.5,8,2.0,18,4.6,0,0.0,2,0.5
Gender by Ethnicity,Female Multi-Racial,2012,5 year August,400,364,91.0,358,89.5,98.4,143,35.8,39.3,215,53.8,59.1,6,1.5,1.6,15,3.8,20,5.0,0,0.0,1,0.3
Gender by Ethnicity,Female Multi-Racial,2011,5 year August,112,94,83.9,92,82.1,97.9,35,31.3,37.2,57,50.9,60.6,2,1.8,2.1,5,4.5,13,11.6,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2010,5 year August,104,81,77.9,80,76.9,98.8,26,25.0,32.1,54,51.9,66.7,1,1.0,1.2,6,5.8,16,15.4,0,0.0,1,1.0
Gender by Ethnicity,Female Multi-Racial,2009,5 year August,52,30,57.7,30,57.7,100.0,7,13.5,23.3,23,44.2,76.7,0,0.0,0.0,5,9.6,15,28.8,2,3.8,0,0.0
Gender by Ethnicity,Female Multi-Racial,2008,5 year August,43,34,79.1,34,79.1,100.0,11,25.6,32.4,23,53.5,67.6,0,0.0,0.0,2,4.7,7,16.3,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2007,5 year August,30,24,80.0,22,73.3,91.7,6,20.0,25.0,16,53.3,66.7,2,6.7,8.3,1,3.3,5,16.7,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2006,5 year August,121,102,84.3,80,66.1,78.4,24,19.8,23.5,56,46.3,54.9,22,18.2,21.6,6,5.0,11,9.1,0,0.0,2,1.7
Gender by Ethnicity,Female Multi-Racial,2013,5 year June,393,364,92.6,355,90.3,97.5,108,27.5,29.7,247,62.8,67.9,9,2.3,2.5,9,2.3,18,4.6,0,0.0,2,0.5
Gender by Ethnicity,Female Multi-Racial,2012,5 year June,400,363,90.8,357,89.3,98.3,143,35.8,39.4,214,53.5,59.0,6,1.5,1.7,16,4.0,20,5.0,0,0.0,1,0.3
Gender by Ethnicity,Female Multi-Racial,2011,5 year June,112,94,83.9,92,82.1,97.9,35,31.3,37.2,57,50.9,60.6,2,1.8,2.1,5,4.5,13,11.6,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2010,5 year June,104,81,77.9,80,76.9,98.8,26,25.0,32.1,54,51.9,66.7,1,1.0,1.2,6,5.8,16,15.4,0,0.0,1,1.0
Gender by Ethnicity,Female Multi-Racial,2009,5 year June,52,27,51.9,27,51.9,100.0,7,13.5,25.9,20,38.5,74.1,0,0.0,0.0,8,15.4,15,28.8,2,3.8,0,0.0
Gender by Ethnicity,Female Multi-Racial,2008,5 year June,43,34,79.1,34,79.1,100.0,11,25.6,32.4,23,53.5,67.6,0,0.0,0.0,2,4.7,7,16.3,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2007,5 year June,30,24,80.0,22,73.3,91.7,6,20.0,25.0,16,53.3,66.7,2,6.7,8.3,1,3.3,5,16.7,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2006,5 year June,121,101,83.5,79,65.3,78.2,24,19.8,23.8,55,45.5,54.5,22,18.2,21.8,6,5.0,12,9.9,0,0.0,2,1.7
Gender by Ethnicity,Female Multi-Racial,2005,5 year June,144,107,74.3,75,52.1,70.1,16,11.1,15.0,59,41.0,55.1,32,22.2,29.9,10,6.9,26,18.1,0,0.0,1,0.7
Gender by Ethnicity,Female Multi-Racial,2004,5 year June,128,97,75.8,67,52.3,69.1,24,18.8,24.7,43,33.6,44.3,30,23.4,30.9,8,6.3,22,17.2,0,0.0,1,0.8
Gender by Ethnicity,Female Multi-Racial,2003,5 year June,248,222,89.5,153,61.7,68.9,56,22.6,25.2,97,39.1,43.7,69,27.8,31.1,14,5.6,11,4.4,0,0.0,1,0.4
Gender by Ethnicity,Female Multi-Racial,2002,5 year June,10,4,40.0,3,30.0,75.0,1,10.0,25.0,2,20.0,50.0,2,20.0,50.0,2,20.0,4,40.0,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2001,5 year June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Gender by Ethnicity,Female Multi-Racial,2012,6 year June,401,366,91.3,359,89.5,98.1,143,35.7,39.1,216,53.9,59.0,7,1.7,1.9,13,3.2,20,5.0,0,0.0,2,0.5
Gender by Ethnicity,Female Multi-Racial,2011,6 year June,122,95,77.9,93,76.2,97.9,35,28.7,36.8,58,47.5,61.1,2,1.6,2.1,14,11.5,12,9.8,0,0.0,1,0.8
Gender by Ethnicity,Female Multi-Racial,2010,6 year June,104,81,77.9,80,76.9,98.8,26,25.0,32.1,54,51.9,66.7,1,1.0,1.2,4,3.8,18,17.3,0,0.0,1,1.0
Gender by Ethnicity,Female Multi-Racial,2009,6 year June,50,31,62.0,31,62.0,100.0,7,14.0,22.6,24,48.0,77.4,0,0.0,0.0,2,4.0,15,30.0,2,4.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2008,6 year June,43,34,79.1,34,79.1,100.0,11,25.6,32.4,23,53.5,67.6,0,0.0,0.0,2,4.7,7,16.3,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2007,6 year June,30,24,80.0,22,73.3,91.7,6,20.0,25.0,16,53.3,66.7,2,6.7,8.3,0,0.0,6,20.0,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2006,6 year June,119,101,84.9,78,65.5,77.2,24,20.2,23.8,54,45.4,53.5,23,19.3,22.8,4,3.4,11,9.2,0,0.0,3,2.5
Gender by Ethnicity,Female Multi-Racial,2005,6 year June,136,107,78.7,75,55.1,70.1,16,11.8,15.0,59,43.4,55.1,32,23.5,29.9,4,2.9,24,17.6,0,0.0,1,0.7
Gender by Ethnicity,Female Multi-Racial,2004,6 year June,125,99,79.2,68,54.4,68.7,24,19.2,24.2,44,35.2,44.4,31,24.8,31.3,3,2.4,22,17.6,0,0.0,1,0.8
Gender by Ethnicity,Female Multi-Racial,2003,6 year June,247,226,91.5,154,62.3,68.1,56,22.7,24.8,98,39.7,43.4,72,29.1,31.9,4,1.6,15,6.1,0,0.0,2,0.8
Gender by Ethnicity,Female Multi-Racial,2002,6 year June,10,4,40.0,3,30.0,75.0,1,10.0,25.0,2,20.0,50.0,2,20.0,50.0,1,10.0,5,50.0,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,2001,6 year June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Gender by Ethnicity,Female Native American,2014,4 year August,312,236,75.6,221,70.8,93.6,65,20.8,27.5,156,50.0,66.1,15,4.8,6.4,53,17.0,19,6.1,0,0.0,4,1.3
Gender by Ethnicity,Female Native American,2013,4 year August,252,158,62.7,148,58.7,93.7,46,18.3,29.1,102,40.5,64.6,10,4.0,6.3,61,24.2,30,11.9,1,0.4,2,0.8
Gender by Ethnicity,Female Native American,2012,4 year August,241,157,65.1,147,61.0,93.6,32,13.3,20.4,115,47.7,73.2,10,4.1,6.4,58,24.1,21,8.7,1,0.4,4,1.7
Gender by Ethnicity,Female Native American,2011,4 year August,245,171,69.8,164,66.9,95.9,34,13.9,19.9,130,53.1,76.0,7,2.9,4.1,47,19.2,22,9.0,2,0.8,2,0.8
Gender by Ethnicity,Female Native American,2010,4 year August,172,122,70.9,115,66.9,94.3,29,16.9,23.8,86,50.0,70.5,7,4.1,5.7,28,16.3,21,12.2,1,0.6,0,0.0
Gender by Ethnicity,Female Native American,2009,4 year August,205,132,64.4,125,61.0,94.7,30,14.6,22.7,95,46.3,72.0,7,3.4,5.3,44,21.5,24,11.7,0,0.0,5,2.4
Gender by Ethnicity,Female Native American,2008,4 year August,199,114,57.3,103,51.8,90.4,16,8.0,14.0,87,43.7,76.3,11,5.5,9.6,56,28.1,23,11.6,3,1.5,3,1.5
Gender by Ethnicity,Female Native American,2007,4 year August,176,95,54.0,72,40.9,75.8,20,11.4,21.1,52,29.5,54.7,23,13.1,24.2,51,29.0,23,13.1,4,2.3,3,1.7
Gender by Ethnicity,Female Native American,2006,4 year August,135,83,61.5,64,47.4,77.1,15,11.1,18.1,49,36.3,59.0,19,14.1,22.9,32,23.7,15,11.1,2,1.5,3,2.2
Gender by Ethnicity,Female Native American,2005,4 year August,133,73,54.9,53,39.8,72.6,19,14.3,26.0,34,25.6,46.6,20,15.0,27.4,34,25.6,19,14.3,5,3.8,2,1.5
Gender by Ethnicity,Female Native American,2004,4 year August,110,75,68.2,46,41.8,61.3,No Data,No Data,No Data,No Data,No Data,No Data,29,26.4,38.7,28,25.5,5,4.5,No Data,No Data,No Data,No Data
Gender by Ethnicity,Female Native American,2014,4 year June,312,229,73.4,216,69.2,94.3,65,20.8,28.4,151,48.4,65.9,13,4.2,5.7,60,19.2,19,6.1,0,0.0,4,1.3
Gender by Ethnicity,Female Native American,2013,4 year June,252,149,59.1,142,56.3,95.3,46,18.3,30.9,96,38.1,64.4,7,2.8,4.7,69,27.4,30,11.9,2,0.8,2,0.8
Gender by Ethnicity,Female Native American,2012,4 year June,241,151,62.7,142,58.9,94.0,32,13.3,21.2,110,45.6,72.8,9,3.7,6.0,63,26.1,21,8.7,2,0.8,4,1.7
Gender by Ethnicity,Female Native American,2011,4 year June,245,164,66.9,159,64.9,97.0,34,13.9,20.7,125,51.0,76.2,5,2.0,3.0,54,22.0,22,9.0,2,0.8,2,0.8
Gender by Ethnicity,Female Native American,2010,4 year June,172,113,65.7,106,61.6,93.8,28,16.3,24.8,78,45.3,69.0,7,4.1,6.2,37,21.5,21,12.2,1,0.6,0,0.0
Gender by Ethnicity,Female Native American,2009,4 year June,205,124,60.5,117,57.1,94.4,28,13.7,22.6,89,43.4,71.8,7,3.4,5.6,52,25.4,24,11.7,0,0.0,5,2.4
Gender by Ethnicity,Female Native American,2008,4 year June,199,108,54.3,98,49.2,90.7,16,8.0,14.8,82,41.2,75.9,10,5.0,9.3,62,31.2,23,11.6,3,1.5,3,1.5
Gender by Ethnicity,Female Native American,2007,4 year June,176,88,50.0,71,40.3,80.7,20,11.4,22.7,51,29.0,58.0,17,9.7,19.3,58,33.0,23,13.1,4,2.3,3,1.7
Gender by Ethnicity,Female Native American,2006,4 year June,135,79,58.5,61,45.2,77.2,15,11.1,19.0,46,34.1,58.2,18,13.3,22.8,36,26.7,15,11.1,2,1.5,3,2.2
Gender by Ethnicity,Female Native American,2005,4 year June,133,72,54.1,52,39.1,72.2,19,14.3,26.4,33,24.8,45.8,20,15.0,27.8,35,26.3,19,14.3,5,3.8,2,1.5
Gender by Ethnicity,Female Native American,2004,4 year June,110,72,65.5,45,40.9,62.5,8,7.3,11.1,37,33.6,51.4,27,24.5,37.5,31,28.2,5,4.5,2,1.8,0,0.0
Gender by Ethnicity,Female Native American,2003,4 year June,92,47,51.1,34,37.0,72.3,12,13.0,25.5,22,23.9,46.8,13,14.1,27.7,30,32.6,13,14.1,1,1.1,0,0.0
Gender by Ethnicity,Female Native American,2002,4 year June,124,63,50.8,41,33.1,65.1,13,10.5,20.6,28,22.6,44.4,22,17.7,34.9,29,23.4,28,22.6,2,1.6,2,1.6
Gender by Ethnicity,Female Native American,2001,4 year June,117,58,49.6,33,28.2,56.9,10,8.5,17.2,23,19.7,39.7,25,21.4,43.1,41,35.0,16,13.7,2,1.7,0,0.0
Gender by Ethnicity,Female Native American,2013,5 year August,263,187,71.1,169,64.3,90.4,46,17.5,24.6,123,46.8,65.8,18,6.8,9.6,21,8.0,44,16.7,8,3.0,3,1.1
Gender by Ethnicity,Female Native American,2012,5 year August,265,191,72.1,172,64.9,90.1,32,12.1,16.8,140,52.8,73.3,19,7.2,9.9,31,11.7,30,11.3,7,2.6,6,2.3
Gender by Ethnicity,Female Native American,2011,5 year August,257,194,75.5,184,71.6,94.8,34,13.2,17.5,150,58.4,77.3,10,3.9,5.2,25,9.7,29,11.3,5,1.9,4,1.6
Gender by Ethnicity,Female Native American,2010,5 year August,198,148,74.7,137,69.2,92.6,29,14.6,19.6,108,54.5,73.0,11,5.6,7.4,13,6.6,35,17.7,1,0.5,1,0.5
Gender by Ethnicity,Female Native American,2009,5 year August,201,139,69.2,132,65.7,95.0,30,14.9,21.6,102,50.7,73.4,7,3.5,5.0,15,7.5,40,19.9,2,1.0,5,2.5
Gender by Ethnicity,Female Native American,2008,5 year August,197,125,63.5,111,56.3,88.8,16,8.1,12.8,95,48.2,76.0,14,7.1,11.2,23,11.7,41,20.8,6,3.0,2,1.0
Gender by Ethnicity,Female Native American,2007,5 year August,176,109,61.9,80,45.5,73.4,20,11.4,18.3,60,34.1,55.0,29,16.5,26.6,17,9.7,41,23.3,5,2.8,4,2.3
Gender by Ethnicity,Female Native American,2006,5 year August,144,91,63.2,68,47.2,74.7,16,11.1,17.6,52,36.1,57.1,23,16.0,25.3,16,11.1,25,17.4,8,5.6,4,2.8
